features,model,r2_score,mae
"('experience_level', 'employment_type', 'employee_residence', ' ', 'company_location', 'company_size')",XGB,0.5562972231588921,29041.500920222355
"('experience_level', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",XGB,0.5537958980898257,29227.136939415566
"('experience_level', 'employment_type', 'remote_ratio', 'company_location', 'company_size')",XGB,0.5521686759535587,29204.960242638223
"('experience_level', 'employee_residence', 'remote_ratio', 'company_size')",XGB,0.5518862811288425,29519.71432729868
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_size')",XGB,0.5507728424177694,29484.465238131008
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_size')",CatBoost,0.550663575973555,29387.78013585223
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_size')",RandomForest,0.5504408000353762,29491.620381828587
"('experience_level', 'employee_residence', 'remote_ratio', 'company_size')",CatBoost,0.5502133928580251,29402.105888084214
"('work_year', 'experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_size')",XGB,0.5501369626268076,29627.155667818508
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",ExtraTrees,0.5494599172986656,29439.384276843324
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",RandomForest,0.5491106901706835,29506.579026480646
"('experience_level', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.5489033640449699,29521.337509071105
"('experience_level', 'employee_residence', 'remote_ratio', 'company_size')",RandomForest,0.5488941108846122,29611.903237296712
"('work_year', 'experience_level', 'employee_residence', 'remote_ratio', 'company_size')",XGB,0.5487132959400718,29670.00011268029
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.548075776681169,29564.615607608903
"('work_year', 'experience_level', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",XGB,0.547910261148324,29643.02017916166
"('experience_level', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",ExtraTrees,0.5478655480157588,29627.57180088179
"('experience_level', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",RandomForest,0.5476217671471799,29594.29518584076
"('work_year', 'experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",ExtraTrees,0.5465637557829335,29725.076905611648
"('work_year', 'experience_level', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",ExtraTrees,0.5462924218449358,29669.318751765495
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.5459576299154744,29597.05994992024
"('work_year', 'experience_level', 'employment_type', 'remote_ratio', 'company_location', 'company_size')",ExtraTrees,0.54580724645463,29752.131647019934
"('experience_level', 'remote_ratio', 'company_location', 'company_size')",XGB,0.5456962430958272,29637.325650728664
"('work_year', 'experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",XGB,0.5453379462234533,29722.152540940504
"('experience_level', 'employment_type', 'remote_ratio', 'company_location', 'company_size')",RandomForest,0.5438191516662781,29689.62544398216
"('experience_level', 'employment_type', 'remote_ratio', 'company_location', 'company_size')",ExtraTrees,0.5434723417588561,29712.77355204367
"('work_year', 'experience_level', 'employee_residence', 'remote_ratio', 'company_size')",ExtraTrees,0.5430583039922396,29949.49624916133
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",CatBoost,0.542863150965855,28995.926945354033
"('work_year', 'experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_size')",RandomForest,0.5427617054436618,29874.166771109907
"('experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",GradientBoosting,0.5426127500141642,29007.78795212057
"('experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",CatBoost,0.5425721786624254,29067.33520414009
"('work_year', 'experience_level', 'job_title', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.5423644641204253,29500.502141349716
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",GradientBoosting,0.5423638993983366,28989.58728836975
"('work_year', 'experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",Ridge,0.5421022662765427,29347.711380344368
"('work_year', 'experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",Ridge,0.5420491508444019,29367.06439746912
"('work_year', 'experience_level', 'employee_residence', 'remote_ratio', 'company_size')",RandomForest,0.5415278517127515,29962.359308052735
"('experience_level', 'employment_type', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.5414580560138034,29802.019587360905
"('work_year', 'experience_level', 'job_title', 'employee_residence', 'company_location', 'company_size')",Ridge,0.5414212912618921,29400.155110466734
"('work_year', 'experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_location', 'company_size')",Ridge,0.5413736020288619,29422.730437013517
"('work_year', 'experience_level', 'job_title', 'remote_ratio', 'company_location')",CatBoost,0.5412873918853184,29340.926295555037
"('experience_level', 'employee_residence', 'remote_ratio', 'company_size')",ExtraTrees,0.5411956520888763,30099.359235176664
"('experience_level', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.5410314922352482,29891.6296614587
"('work_year', 'experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_size')",ExtraTrees,0.5409889975204428,30069.800181452996
"('work_year', 'experience_level', 'employment_type', 'remote_ratio', 'company_location', 'company_size')",RandomForest,0.5409648841089796,30108.52458357134
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_size')",ExtraTrees,0.5407255046479629,30023.846696715125
"('work_year', 'experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.5403550526315472,29683.72216851764
"('work_year', 'experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",Ridge,0.5402992625759286,29380.3076393594
"('work_year', 'experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",Ridge,0.5402439617348997,29392.6292059583
"('work_year', 'experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",RandomForest,0.5402146634476832,30029.26596754819
"('work_year', 'experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location', 'company_size')",XGB,0.5399026861812575,29599.657536433293
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location')",XGB,0.5397629300392817,29827.136620154746
"('experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",XGB,0.5394973200952626,29121.76071871244
"('experience_level', 'employment_type', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.5393437816822964,29911.19763377443
"('experience_level', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.5393160272376387,29991.85609095709
"('work_year', 'experience_level', 'job_title', 'employee_residence', 'company_size')",Ridge,0.5392856951773288,29448.321685945633
"('experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.5392273601129736,29253.7818309823
"('work_year', 'experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_size')",Ridge,0.5392269895819373,29463.666760287408
"('experience_level', 'remote_ratio', 'company_location', 'company_size')",ExtraTrees,0.5391497230791827,29937.270917428283
"('work_year', 'experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location')",CatBoost,0.5387492556871725,29460.071663591723
