features,model,r2_score,mae
"('experience_level', 'remote_ratio', 'company_location', 'company_size')",RandomForest,0.5385247690009999,29971.7353446665
"('work_year', 'experience_level', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",RandomForest,0.5385166690523757,30131.353259464962
"('work_year', 'experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_location')",Ridge,0.5384945525618531,29256.155779705758
"('work_year', 'experience_level', 'employment_type', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.5384771783935882,30062.697739768344
"('work_year', 'experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_location')",Ridge,0.5384345270015704,29245.68015308071
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_location', 'company_size')",RandomForest,0.5384202289113607,29096.34054039126
"('experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",XGB,0.5382649829414161,29132.49012169471
"('experience_level', 'job_title', 'employee_residence', 'company_size')",CatBoost,0.5381362770866389,29020.767540242632
"('experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",GradientBoosting,0.5380802097971176,29097.504426513522
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",XGB,0.5379720528638015,29190.723942683293
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_size')",RandomForest,0.5379675090238862,29106.34603556679
"('work_year', 'experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location', 'company_size')",Ridge,0.5379567774192463,29482.106674575793
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.5379305814298556,29318.30037797638
"('experience_level', 'job_title', 'employee_residence', 'company_size')",RandomForest,0.5379059239137205,29112.43126900163
"('work_year', 'experience_level', 'employment_type', 'job_title', 'company_location', 'company_size')",Ridge,0.5377825831556644,29529.986293483416
"('experience_level', 'job_title', 'employee_residence', 'company_location', 'company_size')",RandomForest,0.5376234668665236,29148.663682048158
"('work_year', 'experience_level', 'job_title', 'remote_ratio', 'company_location', 'company_size')",Ridge,0.5375845977697,29486.418350696895
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",GradientBoosting,0.5375729320918945,29144.82878606793
"('work_year', 'experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_location')",Ridge,0.5374268563968709,29358.271151112822
"('work_year', 'experience_level', 'job_title', 'company_location', 'company_size')",Ridge,0.5374106433378761,29530.691712471198
"('work_year', 'experience_level', 'job_title', 'employee_residence', 'company_location')",Ridge,0.5373582316978811,29350.968234276614
"('work_year', 'experience_level', 'job_title', 'remote_ratio', 'company_location', 'company_size')",GradientBoosting,0.5371307750486859,29440.6167453772
"('experience_level', 'employee_residence', 'remote_ratio', 'company_location')",XGB,0.5369878539224884,29954.837303748496
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_size')",CatBoost,0.5366564434736663,29043.856029155195
"('experience_level', 'job_title', 'employee_residence', 'company_location', 'company_size')",XGB,0.5365945482942649,28976.04780461238
"('work_year', 'experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_location')",GradientBoosting,0.5364619089412201,29427.607372898652
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_location', 'company_size')",XGB,0.5364099998148248,28982.913184532754
"('work_year', 'experience_level', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.5363134568845296,30200.72170206462
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",XGB,0.5362349530821149,29262.388221153848
"('work_year', 'experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location', 'company_size')",GradientBoosting,0.5360846686415873,29494.223303503713
"('work_year', 'experience_level', 'employment_type', 'remote_ratio', 'company_location', 'company_size')",XGB,0.5359335216171801,30003.17838228666
"('work_year', 'experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_size')",CatBoost,0.535752089486714,30116.61485191743
"('work_year', 'experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.5357501465923173,30222.108995258808
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_size')",DecisionTree,0.5356880349237203,30301.120046074087
"('experience_level', 'job_title', 'employee_residence', 'company_location', 'company_size')",CatBoost,0.5356789531616795,29071.270799809252
"('work_year', 'experience_level', 'employee_residence', 'remote_ratio')",XGB,0.5352762602441223,30200.39771446815
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_location', 'company_size')",CatBoost,0.5352762389598048,29020.36111207258
"('work_year', 'experience_level', 'job_title', 'employee_residence', 'remote_ratio')",Ridge,0.5352017081358657,29391.890620749327
"('work_year', 'experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio')",Ridge,0.5351814623675482,29399.647586075534
"('experience_level', 'employee_residence', 'remote_ratio', 'company_size')",DecisionTree,0.5350900137902472,30302.715238381777
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",RandomForest,0.5350816978524506,29552.07491959753
"('experience_level', 'job_title', 'employee_residence', 'company_size')",XGB,0.5350613392051324,28870.83670278696
"('experience_level', 'employee_residence', 'remote_ratio', 'company_location')",CatBoost,0.535032886835247,29981.47871840184
"('work_year', 'experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location')",GradientBoosting,0.5349998459005119,29258.86048891594
"('experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",RandomForest,0.5349669875023589,29529.67725368583
"('experience_level', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.5349656935020625,30222.916864543662
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio')",RandomForest,0.5349608836350963,30258.782865776324
"('experience_level', 'job_title', 'employee_residence', 'company_location', 'company_size')",Ridge,0.5346525559392411,29572.04202729852
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_location', 'company_size')",Ridge,0.5345790679246106,29603.497857125585
"('experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",Ridge,0.534507469013329,29571.714159268384
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",Ridge,0.5344376373498096,29600.539765989153
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_size')",XGB,0.534392894878758,29059.092752309945
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",RandomForest,0.5343862382927231,29528.22623516161
"('work_year', 'experience_level', 'employment_type', 'employee_residence', 'remote_ratio')",XGB,0.5343766029037353,30205.09074988732
"('work_year', 'experience_level', 'remote_ratio', 'company_location', 'company_size')",RandomForest,0.5343454293084897,30393.670804747988
"('work_year', 'experience_level', 'employee_residence', 'remote_ratio', 'company_size')",CatBoost,0.5343158951243357,30150.14836425814
"('work_year', 'experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location', 'company_size')",LinearRegression,0.5341903000773386,29594.368407093974
"('work_year', 'experience_level', 'employment_type', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.5341665509170013,30262.632298000102
"('experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location', 'company_size')",GradientBoosting,0.5340844820017454,29332.93801174656
"('work_year', 'experience_level', 'employment_type', 'job_title', 'company_location', 'company_size')",LinearRegression,0.5339694084033539,29676.14105201501
"('work_year', 'experience_level', 'job_title', 'remote_ratio', 'company_location')",GradientBoosting,0.5339685534429531,29328.458362728506
"('work_year', 'experience_level', 'job_title', 'employee_residence')",Ridge,0.5338378882534575,29462.00641878356
"('work_year', 'experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_location')",GradientBoosting,0.5338197907819744,29541.602582265656
"('work_year', 'experience_level', 'employment_type', 'job_title', 'employee_residence')",Ridge,0.5338182249098203,29478.36252301302
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location')",CatBoost,0.5337561858383558,30081.95979027355
"('work_year', 'experience_level', 'job_title', 'remote_ratio', 'company_location', 'company_size')",LinearRegression,0.5337516735891983,29565.890636556083
"('work_year', 'experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location')",XGB,0.533724998626646,30084.921968900242
"('work_year', 'experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location')",Ridge,0.5336652640670584,29394.06713117351
"('work_year', 'experience_level', 'job_title', 'company_location', 'company_size')",LinearRegression,0.5335423522950574,29652.879875988117
"('work_year', 'experience_level', 'employee_residence', 'remote_ratio', 'company_location')",XGB,0.5333252109549597,30100.406259390023
"('experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",RandomForest,0.533299789714494,29587.386905620377
"('experience_level', 'employee_residence', 'remote_ratio')",RandomForest,0.5332035530881871,30334.20384384316
"('work_year', 'experience_level', 'job_title', 'remote_ratio', 'company_location')",Ridge,0.5331980726110394,29395.006703962663
"('work_year', 'experience_level', 'employment_type', 'job_title', 'company_location')",Ridge,0.5330144586760455,29439.107300710963
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio')",XGB,0.5329224344227239,30251.333923339844
"('experience_level', 'job_title', 'remote_ratio', 'company_location', 'company_size')",XGB,0.5328522835149982,29248.117995042066
"('experience_level', 'employment_type', 'job_title', 'company_location', 'company_size')",RandomForest,0.5327556488551071,29106.178871615983
"('experience_level', 'employee_residence', 'remote_ratio')",XGB,0.532693894569618,30263.712294358473
"('experience_level', 'job_title', 'employee_residence', 'company_size')",Ridge,0.5326897333847271,29607.84483875457
"('experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",Ridge,0.5326665801274164,29603.574689348476
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location')",RandomForest,0.532603072429176,30140.455903419625
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_size')",Ridge,0.5326023637444606,29634.953524422177
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",Ridge,0.5325845518884789,29626.88307644659
"('work_year', 'experience_level', 'job_title', 'company_location')",Ridge,0.5325358960583693,29443.888558837927
"('experience_level', 'job_title', 'remote_ratio', 'company_location', 'company_size')",GradientBoosting,0.532245522576337,29180.751038235885
"('experience_level', 'employment_type', 'remote_ratio', 'company_location')",XGB,0.5322230266364698,30133.3067955604
"('work_year', 'experience_level', 'remote_ratio', 'company_location', 'company_size')",ExtraTrees,0.5320862238917883,30313.85793207602
"('experience_level', 'job_title', 'remote_ratio', 'company_location', 'company_size')",RandomForest,0.5319662396857378,29617.262291437848
"('work_year', 'experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",GradientBoosting,0.5315462561499508,29759.528999979604
"('work_year', 'experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",LinearRegression,0.531363425955111,29822.753667734385
"('experience_level', 'job_title', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.5312976083766415,29720.239589794153
"('work_year', 'experience_level', 'job_title', 'remote_ratio', 'company_location', 'company_size')",XGB,0.5312941729489303,29733.608905498797
"('work_year', 'experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",GradientBoosting,0.5311684167700386,29790.929999694126
"('work_year', 'experience_level', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.5311530670240598,30436.43079759648
"('experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location', 'company_size')",XGB,0.5311272890191032,29454.017033503605
"('work_year', 'experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",LinearRegression,0.5311156506053325,29805.586639263845
"('experience_level', 'employee_residence', 'remote_ratio')",CatBoost,0.5310440721563074,30179.082901231835
"('work_year', 'experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location', 'company_size')",Lasso,0.531020113649414,29745.384944715795
"('experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location', 'company_size')",RandomForest,0.531014619096744,29688.325078221977
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio')",CatBoost,0.5309908843600659,30171.92553878708
"('work_year', 'experience_level', 'job_title', 'remote_ratio', 'company_location', 'company_size')",Lasso,0.5309560543929908,29694.35359506722
"('work_year', 'experience_level', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.5309165975377108,30383.269296036342
"('work_year', 'experience_level', 'employment_type', 'job_title', 'company_location', 'company_size')",Lasso,0.530816435994226,29825.928124849794
"('work_year', 'experience_level', 'job_title', 'company_location', 'company_size')",Lasso,0.5307028627118126,29781.18467365454
"('experience_level', 'employee_residence', 'remote_ratio', 'company_location')",RandomForest,0.5306629571510669,30213.377021589353
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_size')",GradientBoosting,0.5303890184473817,30012.510919763685
"('experience_level', 'employee_residence', 'remote_ratio', 'company_size')",GradientBoosting,0.5302898111284167,30017.066775283303
"('work_year', 'experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location', 'company_size')",RandomForest,0.5300768048609745,29910.86239341648
"('work_year', 'experience_level', 'job_title', 'company_location', 'company_size')",GradientBoosting,0.5300499547571036,29704.031393231588
"('experience_level', 'employment_type', 'job_title', 'company_location', 'company_size')",CatBoost,0.5300316561660511,29222.88505729098
"('work_year', 'experience_level', 'remote_ratio', 'company_location', 'company_size')",XGB,0.5300109479594884,30159.92243840144
"('work_year', 'experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.5300096510946782,30467.81016142096
"('experience_level', 'job_title', 'employee_residence', 'company_size')",GradientBoosting,0.5299780446785618,29302.060322843587
"('experience_level', 'employee_residence', 'remote_ratio')",ExtraTrees,0.5298426441854887,30373.250592186403
"('experience_level', 'employment_type', 'job_title', 'company_location', 'company_size')",Ridge,0.5298077253208363,29711.257394908713
"('experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_location')",CatBoost,0.5297952699447412,29431.413160740172
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_size')",GradientBoosting,0.5297911697599208,29318.97873153929
"('work_year', 'experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_size')",LinearRegression,0.5295087655056083,29955.603544136844
"('experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location', 'company_size')",Ridge,0.529493552884573,29717.95110403981
"('work_year', 'experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",Lasso,0.5293898520941747,29870.746120171083
"('experience_level', 'job_title', 'company_location', 'company_size')",Ridge,0.5293563323913923,29702.487765073303
"('experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.5293464289461367,29818.53596558043
"('work_year', 'experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location')",CatBoost,0.52932396129162,30190.10570860187
"('work_year', 'experience_level', 'job_title', 'employee_residence', 'company_size')",LinearRegression,0.5292743065884877,29937.481610567665
"('work_year', 'experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_size')",Lasso,0.5292700834032016,29849.94473080198
"('work_year', 'experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location')",LinearRegression,0.529123695967842,29601.85588462736
"('experience_level', 'job_title', 'remote_ratio', 'company_location', 'company_size')",Ridge,0.529032541067241,29708.65652096716
"('work_year', 'experience_level', 'employment_type', 'job_title', 'company_location', 'company_size')",GradientBoosting,0.5290046108638891,29732.02745292549
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_location', 'company_size')",GradientBoosting,0.5289556247641556,29290.84413762121
"('experience_level', 'job_title', 'employee_residence', 'company_location', 'company_size')",GradientBoosting,0.5288760602744028,29302.964828995788
"('experience_level', 'remote_ratio', 'company_location', 'company_size')",GradientBoosting,0.5288618746788123,29904.619504070688
"('experience_level', 'remote_ratio', 'company_location')",XGB,0.5288437517071933,30226.68764085036
"('work_year', 'experience_level', 'employment_type', 'job_title', 'remote_ratio', 'company_location')",Lasso,0.5287082776583224,29625.102263142937
"('experience_level', 'job_title', 'employee_residence', 'remote_ratio', 'company_location')",RandomForest,0.5286319789842275,29580.495778299326
"('experience_level', 'employment_type', 'employee_residence', 'company_location', 'company_size')",XGB,0.5285658017274969,29421.954298753004
"('work_year', 'experience_level', 'job_title', 'remote_ratio', 'company_location')",Lasso,0.5285208389453409,29595.592104007534
"('work_year', 'experience_level', 'job_title', 'remote_ratio', 'company_location')",LinearRegression,0.5284461856332716,29598.633258690923
"('experience_level', 'employment_type', 'remote_ratio', 'company_location')",CatBoost,0.5283343621729786,30177.164730221597
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_location')",RandomForest,0.5283087558967561,29593.2497474841
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio')",ExtraTrees,0.5282300419245789,30508.871137058195
"('work_year', 'experience_level', 'employment_type', 'job_title', 'company_location')",LinearRegression,0.528221573962981,29660.668489709067
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location')",ExtraTrees,0.5280814686960416,30348.52887515343
"('work_year', 'experience_level', 'employment_type', 'job_title', 'company_location')",Lasso,0.5279293979808803,29672.466234419906
"('work_year', 'experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_size')",Lasso,0.5278994328793457,29992.94483074222
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio')",CatBoost,0.5278976310214789,29590.237633960365
"('work_year', 'experience_level', 'job_title', 'remote_ratio', 'company_location', 'company_size')",RandomForest,0.5278820054670976,30014.598736115415
"('experience_level', 'employee_residence', 'company_location', 'company_size')",CatBoost,0.5278169710542799,29451.69154780282
"('work_year', 'experience_level', 'job_title', 'employee_residence', 'company_size')",Lasso,0.5278063188121209,29970.67126586399
"('work_year', 'experience_level', 'job_title', 'company_location')",Lasso,0.5276987766045896,29638.91610938925
"('experience_level', 'employee_residence', 'remote_ratio')",DecisionTree,0.5276881271177387,30503.45994314794
"('work_year', 'experience_level', 'job_title', 'company_location')",LinearRegression,0.5275216475364481,29649.411066874225
"('experience_level', 'job_title', 'employee_residence', 'company_location')",RandomForest,0.5274922751708584,29302.828933835088
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_location')",RandomForest,0.5272713401779482,29327.488814148728
"('experience_level', 'employment_type', 'employee_residence', 'company_size')",CatBoost,0.5272664471985287,29585.372602229338
"('work_year', 'experience_level', 'job_title', 'company_location')",GradientBoosting,0.5272221753079106,29538.985944819528
"('work_year', 'experience_level', 'employment_type', 'job_title', 'company_location')",GradientBoosting,0.5270757293033523,29581.89007140815
"('experience_level', 'employment_type', 'remote_ratio', 'company_location')",RandomForest,0.5270580190871579,30305.827200110336
"('experience_level', 'employment_type', 'job_title', 'employee_residence', 'remote_ratio', 'company_location')",CatBoost,0.5269988747153656,29628.390294248613
"('experience_level', 'employment_type', 'employee_residence', 'company_location', 'company_size')",CatBoost,0.526702912665195,29476.864203294135
"('experience_level', 'employee_residence', 'company_size')",CatBoost,0.5266686207825715,29616.837931603433
"('experience_level', 'employment_type', 'job_title', 'company_location', 'company_size')",XGB,0.526631387743128,29216.06771146334
"('experience_level', 'employment_type', 'employee_residence', 'company_size')",RandomForest,0.5266223940426722,29694.952234434666
"('experience_level', 'remote_ratio', 'company_location')",CatBoost,0.5265540060898808,30231.79755030757
"('experience_level', 'job_title', 'employee_residence', 'remote_ratio')",CatBoost,0.5264373388165824,29644.43170248901
"('experience_level', 'employee_residence', 'company_location', 'company_size')",XGB,0.5263222890090473,29546.360642653246
"('experience_level', 'employment_type', 'employee_residence', 'remote_ratio', 'company_location')",DecisionTree,0.5262329858150518,30472.187507250506
"('experience_level', 'job_title', 'company_location', 'company_size')",RandomForest,0.5262259641926482,29401.75003175835
"('work_year', 'experience_level', 'employment_type', 'remote_ratio', 'company_location')",XGB,0.5261739575918611,30433.45759465144
"('work_year', 'experience_level', 'employment_type', 'job_title', 'employee_residence', 'company_location')",GradientBoosting,0.5261566431208422,29714.77919488283
"('experience_level', 'employment_type', 'job_title', 'company_location', 'company_size')",LinearRegression,0.5261473376726216,29923.207079444524
"('work_year', 'experience_level', 'job_title', 'employee_residence', 'company_location')",GradientBoosting,0.5260996923512025,29722.57374012422
"('experience_level', 'employee_residence', 'company_size')",RandomForest,0.5260214564035111,29753.349465755073
